Pflanzenlaborwerte_ID,Probenahme_Pflanzen_ID,Hp_Trockenmasse,TS,N,P,K,Ca,Mg,C,TKG,Oel,Protein,Glukosinolate,Staerke,Koerner_kleiner_2_2,Koerner_von_2_2_bis_2_5,Koerner_von_2_5_bis_2_8,Koerner_groesser_2_8,N_Proz_Restpflanze_ohne_Korn
3403,3403,103.52,78,1.73,,,,,41.69,,,,,,,,,,
3404,3404,109.32,76.14,1.55,,,,,44.34,,,,,,,,,,
3405,3405,108.06,78.86,1.35,,,,,44.21,,,,,,,,,,
3406,3406,119.49,77.31,1.66,,,,,44.61,,,,,,,,,,
3407,3407,106.55,77.01,1.36,,,,,44.34,,,,,,,,,,
3408,3408,108.05,76.06,1.52,,,,,44.43,,,,,,,,,,
3409,3409,105.31,78.14,1.41,,,,,43.99,,,,,,,,,,
3410,3410,115.68,76.62,1.47,,,,,44.28,,,,,,,,,,
3411,3411,61.69,77.52,1.33,,,,,41.96,,,,,,,,,,
3412,3412,64.7,77.12,1.25,,,,,44.17,,,,,,,,,,
3413,3413,103.47,78.76,1.41,,,,,44.29,,,,,,,,,,
3414,3414,122.52,78.33,1.64,,,,,42.17,,,,,,,,,,
3415,3415,89.68,77.11,1.36,,,,,44.23,,,,,,,,,,
3416,3416,103.87,76.67,1.54,,,,,44.4,,,,,,,,,,
3417,3417,99.7,78.58,1.32,,,,,44.33,,,,,,,,,,
3418,3418,120.04,77.05,1.5,,,,,44.77,,,,,,,,,,
3419,3419,111.57,77.48,1.32,,,,,44.3,,,,,,,,,,
3420,3420,121.37,75.81,1.6,,,,,45.5,,,,,,,,,,
3421,3421,107.88,77.8,1.34,,,,,44.12,,,,,,,,,,
3422,3422,124.47,76.81,1.51,,,,,44.69,,,,,,,,,,
3423,3423,84.14,76.38,1.25,,,,,44.06,,,,,,,,,,
3424,3424,92.63,76.73,1.51,,,,,44.52,,,,,,,,,,
3425,3425,39.69,84.8,1.71,,,,,,36.45,,,,,,,,,
3426,3426,30.95,84.98,1.62,,,,,,41.93,,,,,,,,,
3427,3427,86.59,85.49,1.83,,,,,,42.41,,,,,,,,,
3428,3428,102.54,86.21,2.24,,,,,,43.98,,,,,,,,,
3429,3429,93.23,85.89,1.83,,,,,,40.63,,,,,,,,,
3430,3430,109.98,86.37,2.21,,,,,,42.17,,,,,,,,,
3431,3431,76.09,86.14,1.69,,,,,,42.27,,,,,,,,,
3432,3432,92.63,86.71,2.1,,,,,,46.36,,,,,,,,,
3433,3433,88.25,85.5,1.88,,,,,,41.61,,,,,,,,,
3434,3434,107.19,85.82,2.12,,,,,,61.33,,,,,,,,,
3435,3435,75.06,85.76,1.83,,,,,,40.08,,,,,,,,,
3436,3436,90.78,86.19,2.33,,,,,,38.73,,,,,,,,,
3437,3437,78.18,85.95,1.82,,,,,,41.01,,,,,,,,,
3438,3438,92.66,86.3,2.15,,,,,,39,,,,,,,,,
3439,3439,73.66,86.12,1.74,,,,,,41.99,,,,,,,,,
3440,3440,84.55,86.22,1.73,,,,,,42.17,,,,,,,,,
3441,3441,89.43,85.7,1.95,,,,,,42.51,,,,,,,,,
3442,3442,107.25,85.76,2.14,,,,,,41.48,,,,,,,,,
3443,3443,90.88,85.67,2.02,,,,,,43.44,,,,,,,,,
3444,3444,115.42,86.14,2.15,,,,,,43,,,,,,,,,
3445,3445,92.98,86.08,1.84,,,,,,44.35,,,,,,,,,
3446,3446,108.32,86.2,2.14,,,,,,41.62,,,,,,,,,
3447,3447,21.15,84.91,1.62,,,,,,42.55,,,,,,,,,
3448,3448,16.88,85.75,1.61,,,,,,40.81,,,,,,,,,
3449,3449,78.43,85.46,1.81,,,,,,38.96,,,,,,,,,
3450,3450,84.55,85.66,2.23,,,,,,41.02,,,,,,,,,
3451,3451,80.78,86.01,1.98,,,,,,44.82,,,,,,,,,
3452,3452,101.21,86.07,2.15,,,,,,41.45,,,,,,,,,
3453,3453,84.2,85.96,1.62,,,,,,41.1,,,,,,,,,
3454,3454,93.56,86.15,1.91,,,,,,44.55,,,,,,,,,
3455,3455,71.03,85.52,1.74,,,,,,43.06,,,,,,,,,
3456,3456,98.76,86.52,2.07,,,,,,45.59,,,,,,,,,
3457,3457,95.21,85.8,1.8,,,,,,44.42,,,,,,,,,
3458,3458,109.52,85.69,2.24,,,,,,41.65,,,,,,,,,
3459,3459,92.72,86.05,1.87,,,,,,45.51,,,,,,,,,
3460,3460,113.93,86.37,2,,,,,,45.54,,,,,,,,,
