Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Bodenbearbeitung_Massnahme_ID
4672,2019,2018-10-11T00:00:00,64,7
4673,2019,2018-10-11T00:00:00,1,13
4674,2019,2018-10-11T00:00:00,2,13
4675,2019,2018-10-11T00:00:00,3,13
4676,2019,2018-10-11T00:00:00,4,13
4677,2019,2018-10-11T00:00:00,5,13
4678,2019,2018-10-11T00:00:00,6,13
4679,2019,2018-10-11T00:00:00,7,13
4680,2019,2018-10-11T00:00:00,8,13
4681,2019,2018-10-11T00:00:00,9,13
4682,2019,2018-10-11T00:00:00,10,13
4683,2019,2018-10-11T00:00:00,11,13
4684,2019,2018-10-11T00:00:00,12,13
4685,2019,2018-10-11T00:00:00,13,13
4686,2019,2018-10-11T00:00:00,14,13
4687,2019,2018-10-11T00:00:00,15,13
4688,2019,2018-10-11T00:00:00,16,13
4689,2019,2018-10-11T00:00:00,17,13
4690,2019,2018-10-11T00:00:00,18,13
4691,2019,2018-10-11T00:00:00,19,13
4692,2019,2018-10-11T00:00:00,20,13
4693,2019,2018-10-11T00:00:00,21,13
4694,2019,2018-10-11T00:00:00,22,13
4695,2019,2018-10-11T00:00:00,23,13
4696,2019,2018-10-11T00:00:00,24,13
4697,2019,2018-10-11T00:00:00,25,13
4698,2019,2018-10-11T00:00:00,26,13
4699,2019,2018-10-11T00:00:00,27,13
4700,2019,2018-10-11T00:00:00,28,13
4701,2019,2018-10-11T00:00:00,29,13
4702,2019,2018-10-11T00:00:00,30,13
4703,2019,2018-10-11T00:00:00,31,13
4704,2019,2018-10-11T00:00:00,32,13
4705,2019,2018-10-11T00:00:00,33,13
4706,2019,2018-10-11T00:00:00,34,13
4707,2019,2018-10-11T00:00:00,35,13
4708,2019,2018-10-11T00:00:00,36,13
4709,2019,2018-10-11T00:00:00,37,13
4710,2019,2018-10-11T00:00:00,38,13
4711,2019,2018-10-11T00:00:00,39,13
4712,2019,2018-10-11T00:00:00,40,13
